Stock,Sector,Industry
SPY,Financial,Exchange Traded Fund
AAPL,Consumer Goods,Electronic Equipment
IWM,Financial,Exchange Traded Fund
GE,Industrial Goods,Diversified Machinery
QQQ,Financial,Exchange Traded Fund
EEM,Financial,Exchange Traded Fund
BAC,Financial,Money Center Banks
FB,Technology,Internet Information Providers
VXX,Financial,Exchange Traded Fund
USO,Financial,Exchange Traded Fund
NFLX,Services,CATV Systems
XLF,Financial,Exchange Traded Fund
MSFT,Technology,Business Software &amp; Services
TWTR,Technology,Internet Information Providers
BABA,Services,Specialty Retail
GLD,Financial,Exchange Traded Fund
EWZ,Financial,Exchange Traded Fund
AMZN,Services,Catalog &amp; Mail Order Houses
FXI,Financial,Exchange Traded Fund
HYG,Financial,Exchange Traded Fund
INTC,Technology,Semiconductor - Broad Line
TSLA,Consumer Goods,Auto Manufacturers - Major
XOM,Basic Materials,Major Integrated Oil &amp; Gas
DOW,Basic Materials,Chemicals - Major Diversified
CHK,Basic Materials,Independent Oil &amp; Gas
UVXY,Financial,Exchange Traded Fund
PFE,Healthcare,Drug Manufacturers - Major
FCX,Basic Materials,Copper
MU,Technology,Semiconductor- Memory Chips
DIS,Services,Entertainment - Diversified
C,Financial,Money Center Banks
VRX,Healthcare,Drug Delivery
XOP,Financial,Exchange Traded Fund
XLE,Financial,Exchange Traded Fund
EFA,Financial,Exchange Traded Fund
GDX,Financial,Exchange Traded Fund
F,Consumer Goods,Auto Manufacturers - Major
GILD,Healthcare,Biotechnology
YHOO,Technology,Internet Information Providers
JPM,Financial,Money Center Banks
TLT,Financial,Exchange Traded Fund
GPRO,Consumer Goods,Photographic Equipment &amp; Supplies
CSCO,Technology,Networking &amp; Communication Devices
DIA,Financial,Exchange Traded Fund
T,Technology,Telecom Services - Domestic
CVX,Basic Materials,Major Integrated Oil &amp; Gas
AA,Basic Materials,Aluminum
SLV,Financial,Exchange Traded Fund
AAL,Services,Major Airlines
RIG,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
WMT,Services,Discount
KMI,Basic Materials,Oil &amp; Gas Pipelines
X,Basic Materials,Steel &amp; Iron
PBR,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
GM,Consumer Goods,Auto Manufacturers - Major
SYF,Financial,Credit Services
MCD,Services,Restaurants
MNKD,Healthcare,Biotechnology
QCOM,Technology,Communication Equipment
BIDU,Technology,Internet Information Providers
WFC,Financial,Money Center Banks
GOOGL,Technology,Internet Information Providers
SBUX,Services,Specialty Eateries
P,Services,Broadcasting - Radio
IYR,Financial,Exchange Traded Fund
CAT,Industrial Goods,Farm &amp; Construction Machinery
KO,Consumer Goods,Beverages - Soft Drinks
ABX,Basic Materials,Gold
DAL,Services,Major Airlines
HAL,Basic Materials,Oil &amp; Gas Equipment &amp; Services
VZ,Technology,Telecom Services - Domestic
COP,Basic Materials,Independent Oil &amp; Gas
WYNN,Services,Resorts &amp; Casinos
RAD,Services,Drug Stores
DXJ,Financial,Exchange Traded Fund
IBM,Technology,Information Technology Services
AGN,Healthcare,Drugs - Generic
GOOG,Technology,Internet Information Providers
CELG,Healthcare,Biotechnology
V,Financial,Credit Services
PCLN,Services,Business Services
JCP,Services,Department Stores
FXE,Financial,Exchange Traded Fund
ORCL,Technology,Application Software
VLO,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
M,Services,Department Stores
VALE,Basic Materials,Industrial Metals &amp; Minerals
HD,Services,Home Improvement Stores
AIG,Financial,Property &amp; Casualty Insurance
LVS,Services,Resorts &amp; Casinos
JD,Technology,Internet Information Providers
SCTY,Technology,Semiconductor - Specialized
JNJ,Healthcare,Drug Manufacturers - Major
UUP,Financial,Exchange Traded Fund
FIT,Technology,Scientific &amp; Technical Instruments
MS,Financial,Investment Brokerage - National
TGT,Services,Discount
UNG,Financial,Exchange Traded Fund
BA,Industrial Goods,Aerospace/Defense Products &amp; Services
GS,Financial,Investment Brokerage - National
HPQ,Technology,Diversified Computer Systems
SLB,Basic Materials,Oil &amp; Gas Equipment &amp; Services
IBB,Financial,Exchange Traded Fund
NKE,Consumer Goods,Textile - Apparel Footwear &amp; Accessories
XLI,Financial,Exchange Traded Fund
BBRY,Technology,Diversified Communication Services
AMD,Technology,Semiconductor - Broad Line
MYL,Healthcare,Drugs - Generic
FEYE,Technology,Application Software
MRK,Healthcare,Drug Manufacturers - Major
SDS,Financial,Exchange Traded Fund
